Date,Open,High,Low,Close,Adj Close,Volume
9/10/19,46.189999,46.57,46.009998,46.450001,46.23362,17566700
9/11/19,46.279999,46.57,46.09,46.400002,46.183853,12874400
9/12/19,46.790001,47.27,46.5,46.970001,46.751198,18660000
9/13/19,46.959999,47.16,46.790001,46.880001,46.661613,11732700
9/16/19,46.23,46.619999,45.790001,46.27,46.054455,13581700
9/17/19,46.119999,46.709999,45.880001,46.669998,46.452591,9894800
9/18/19,46.98,47.049999,46.459999,46.939999,46.721333,12996900
9/19/19,47.040001,47.16,46.57,46.68,46.462547,10501200
9/20/19,46.669998,46.82,46.18,46.360001,46.144035,27252500
9/23/19,46.169998,46.509998,46.16,46.220001,46.004688,13438500
9/24/19,46.619999,46.650002,45.450001,45.709999,45.497063,20731100
9/25/19,45.790001,45.98,45.32,45.830002,45.616508,22128500
9/26/19,45.619999,45.799999,44.25,44.900002,44.690838,22216300
9/27/19,45.16,45.299999,44.330002,44.810001,44.601257,15005300
9/30/19,45,45.220001,44.77,45.080002,44.870003,13892900
10/1/19,45.18,45.709999,44.48,44.52,44.52,15177800
10/2/19,44.389999,44.630001,43.970001,44.049999,44.049999,17195700
10/3/19,44.07,44.169998,43.610001,44.060001,44.060001,11345000
10/4/19,44.330002,45.02,44.290001,44.709999,44.709999,14900200
10/7/19,44.389999,44.959999,44.330002,44.59,44.59,12190800
10/8/19,44.75,44.75,43.639999,44.110001,44.110001,14241800
10/9/19,44.490002,44.52,44.049999,44.380001,44.380001,10439800
10/10/19,44.400002,44.84,44.299999,44.5,44.5,9366400
10/11/19,44.84,45.939999,44.630001,45.549999,45.549999,22961800
10/14/19,45.369999,45.540001,45.060001,45.23,45.23,10105100
10/15/19,45.310001,45.82,45.099998,45.669998,45.669998,9026200
10/16/19,45.560001,45.810001,45.310001,45.599998,45.599998,15002300
10/17/19,45.830002,45.959999,45.509998,45.93,45.93,9121100
10/18/19,46.060001,46.099998,45.419998,45.57,45.57,13553900
10/21/19,45.889999,46.220001,45.810001,46.080002,46.080002,10646900
10/22/19,45.889999,46.049999,45.700001,45.77,45.77,11926900
10/23/19,46.009998,46.189999,45.470001,45.720001,45.720001,23358700
10/24/19,47.209999,47.240002,44.5,44.84,44.84,18968800
